PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1994,Kilograme,2211.0
Grau - total,din care: Exploatatii agricole individuale,Mehedinti,1994,Kilograme,2629.0
Grau - total,din care: Exploatatii agricole individuale,Ialomita,1994,Kilograme,1065.0
Grau - total,Sector privat,Mehedinti,1994,Kilograme,2637.0
Grau - total,Sector privat,Bistrita-Nasaud,1994,Kilograme,2222.0
Grau - total,Sector privat,Dambovita,1994,Kilograme,2285.0
Grau - total,din care: Exploatatii agricole individuale,Hunedoara,1994,Kilograme,2844.0
Grau - total,din care: Exploatatii agricole individuale,Vrancea,1994,Kilograme,1929.0
Grau - total,din care: Exploatatii agricole individuale,Mures,1994,Kilograme,3432.0
Grau - total,din care: Exploatatii agricole individuale,Arges,1994,Kilograme,2697.0
Grau - total,din care: Exploatatii agricole individuale,Cluj,1994,Kilograme,2982.0
Grau - total,Sector privat,Braila,1994,Kilograme,1255.0
Grau - total,Sector privat,Mures,1994,Kilograme,3530.0
Grau - total,Sector privat,Olt,1994,Kilograme,3502.0
Grau - total,Sector privat,Cluj,1994,Kilograme,3027.0
Grau - total,Sector privat,Giurgiu,1994,Kilograme,2039.0
Grau - total,Sector privat,Buzau,1994,Kilograme,690.0
Grau - total,din care: Exploatatii agricole individuale,Valcea,1994,Kilograme,4965.0
Grau - total,Sector privat,Sibiu,1994,Kilograme,2378.0
Grau - total,din care: Exploatatii agricole individuale,Sibiu,1994,Kilograme,2399.0
Grau - total,din care: Exploatatii agricole individuale,Maramures,1994,Kilograme,2045.0
Grau - total,Sector privat,Valcea,1994,Kilograme,4744.0
